Platform,MinimumBIOSVersion,BIOSFamily,SoftpaqNumber
HP ProBook 440 G7,01.26.00,S71,sp161721
HP ProBook 445 G7,01.22.00,S79,sp161735
HP ProBook 450 G7,01.26.00,S71,sp161721
HP ProBook 455 G7,01.22.00,S79,sp161735
HP ProBook 640 G5,01.33.00,R72,sp162982
HP ProBook 650 G5,01.33.00,R72,sp162982
HP Zhan 66 Pro A 14 G3,01.22.00,S81,sp161737
HP EliteDesk 8 Mini G1i AI,02.02.03,X21,sp161642
HP EliteDesk 8 SFF G1i AI,02.02.02,X01,sp161615
HP EliteDesk 8 Tower G1i AI,02.02.02,X01,sp161615
HP EliteDesk 8 Tower G1i E AI,02.02.02,X01,sp161615
HP EliteStudio 8 G1i 23.8 inch AI,02.02.03,X11,sp161797
HP EliteStudio 8 G1i 27 inch AI,02.02.03,X11,sp161797
HP ProDesk 4 Mini G1i AI,02.02.02,X23,sp161643
HP ProDesk 4 SFF G1i AI,02.02.02,X03,sp161623
HP ProDesk 4 Tower G1i AI,02.02.02,X03,sp161623
HP ProDesk 4 Tower G1i E AI,02.02.02,X03,sp161623
HP ProStudio 4 G1i 23.8 inch AI,02.02.00,X13,sp161581
HP Elite SFF 805 G9,02.13.00,W06,sp161551
HP Elite Mini 600 G9,02.19.01,U21,sp165489
HP Elite SFF 600 G9,02.19.01,U01,sp164419
HP Elite SFF 800 G9,02.19.01,U01,sp164419
HP Elite Tower 600 G9,02.19.01,U01,sp164419
HP Elite Tower 680 G9,02.19.01,U01,sp164419
HP Elite Tower 800 G9,02.19.01,U01,sp164419
HP Elite Tower 880 G9,02.19.01,U01,sp164419
HP EliteOne 840 23.8 inch G9,02.19.01,U11,sp165486
HP EliteOne 870 27.8 inch G9,02.19.01,U11,sp165486
HP Mini Conferencing with Microsoft Teams Rooms,02.19.01,U21,sp165489
HP Mini Conferencing with Zoom Rooms,02.19.01,U21,sp165489
HP Mini IP Conferencing with Microsoft Teams Rooms,02.19.01,U21,sp165489
HP Presence 24 with Zoom Rooms,02.19.01,U11,sp165486
HP Presence 27 with Zoom Rooms,02.19.01,U11,sp165486
HP Pro Mini 260 G9,02.21.00,U24,sp160410
HP Pro Mini 400 G9,02.19.01,U23,sp165488
HP Pro Tower 400 G9 PCI,02.19.01,U03,sp164420
HP Pro Tower 480 G9 PCI,02.19.01,U03,sp164420
HP ProOne 440 23.8 inch G9,02.19.01,U13,sp164421
HP Z1 G9 Tower,02.19.01,U01,sp164419
HP Zhan 99 Pro 23.8 inch G9,02.19.01,U13,sp164421
HP ZBook 8 G1ah 14 inch,01.03.03,X82,sp164483
HP ZBook 8 G1i 14 inch,01.02.05,X70,sp165495
HP ZBook 8 G1i 16 inch,01.02.05,X70,sp165495
HP ZBook Ultra G1a 14 inch,TBD,X89,TBD
HP ZBook X G1i 16 inch,TBD,X97,TBD
HP ZBook Firefly 14 inch G11,01.07.02,W70,sp164375
HP ZBook Firefly 14 inch G11 A,01.06.00,W82,sp163242
HP ZBook Firefly 16 inch G11,01.07.02,W70,sp164375
HP ZBook Fury 16 G11,01.03.00,W96,sp163255
HP ZBook Fury 16 G11,01.03.00,W98,sp163258
HP ZBook Fury G1i 16 inch,01.01.18,X96,sp164439
HP ZBook Fury G1i 18 inch,01.01.18,X96,sp164439
HP ZBook Power 16 inch G11,01.07.01,W97,sp164401
HP ZBook Power 16 inch G11 A,01.08.01,W85,sp164400
HP ZBook Studio 16 inch G11,01.05.03,W99,sp163365
HP ZBook Firefly 14 inch G10,01.10.00,V70,sp163147
HP ZBook Firefly 16 inch G10,01.10.00,V70,sp163147
HP ZBook Fury 16 G10,01.10.00,V96,sp163107
HP ZBook Power 15.6 inch G10,01.10.00,V97,sp163134
HP ZBook Power 15.6 inch G10 A,01.10.00,V85,sp163055
HP ZBook Studio 16 inch G10,01.10.00,V99,sp163130
HP ZBook Firefly 14 inch G9,01.16.01,U70,sp163146
HP ZBook Firefly 14 inch G9,01.16.01,U71,sp163146
HP ZBook Firefly 16 inch G9,01.16.01,U70,sp163146
HP ZBook Firefly 16 inch G9,01.16.01,U71,sp163146
HP ZBook Fury 16 G9,01.16.00,U96,sp163117
HP ZBook Power 15.6 inch G9,01.16.00,U97,sp163141
HP ZBook Studio 16 inch G9,01.16.00,U99,sp163132
HP ZBook Firefly 14 inch G8,01.22.00,T39,sp163144
HP ZBook Firefly 14 inch G8,01.22.00,T76,sp163144
HP ZBook Firefly 15.6 inch G8,01.22.00,T76,sp163144
HP ZBook Fury 15.6 inch G8,01.22.00,T95,sp163103
HP ZBook Fury 17.3 inch G8,01.22.00,T95,sp163103
HP ZBook Power 15.6 inch G8,01.22.00,T81,sp163110
HP ZBook Studio 15.6 inch G8,01.22.00,T92,sp163104
HP ZBook Firefly 14 G7,01.22.00,S73,sp162984
HP ZBook Power G7,01.22.00,T75,sp161800
HP ZBook 14U G6,01.33.00,R70,sp162942
HP ZBook 15 G6,01.33.00,R92,sp161746
HP ZBook 17 G6,01.33.00,R92,sp161746
HP ZBook Create G7,01.22.00,S91,sp161750
HP ZBook Fury 15 G7,01.22.00,S92,sp161751
HP ZBook Studio G7,01.22.00,S91,sp161750
HP Z1 Tower G1i,02.02.02,X01,sp161615
HP Z2 Mini G1a,01.02.03,X53,sp161843
HP Z2 Mini G1i,01.07.01,X52,sp163040
HP Z2 SFF G1i,01.07.01,X50,sp163038
HP Z2 Tower G1i,01.07.02,X51,sp163035
HP Z2 Mini G9,03.05.01,U50,sp163086
HP Z2 SFF G9,03.05.01,U50,sp163086
HP Z2 Tower G9,03.05.01,U50,sp163086
HP Z4 G5,01.02.30,U61,sp164476
HP Z4 Rack G5,01.02.27,U62,TBD
HP Z6 G5 A,01.02.05,U65,sp164423
HP Z6 G6,01.02.30,U61,sp164476
HP Z8 Fury G5,01.02.30,U61,sp164476
